strain	row_ID	col_ID	OD	limit_check	format_check	target_OD
donor	H	6	0.2614	TRUE	TRUE	0.04746093750000001
donor	H	7	0.2806	TRUE	TRUE	0.035595703125
donor	H	8	0.2062	TRUE	TRUE	0.026696777343750002
donor	H	9	0.19130000000000003	TRUE	TRUE	0.0200225830078125
donor	H	10	0.2705	TRUE	TRUE	0.015016937255859376
donor	H	11	0.0011000000000000038	FALSE	TRUE	0
donor	H	12	1.999999999999988e-4	FALSE	TRUE	0
receiver	A	1	0.7198	TRUE	TRUE	0.5
receiver	A	2	0.6570999999999999	TRUE	TRUE	0.5
receiver	A	3	0.7112999999999999	TRUE	TRUE	0.5
receiver	A	4	0.6235999999999999	TRUE	TRUE	0.5
receiver	A	5	0.6584	TRUE	TRUE	0.5
receiver	A	6	0.6522	TRUE	TRUE	0.5
receiver	A	7	0.9205	TRUE	TRUE	0.5
receiver	A	8	0.712	TRUE	TRUE	0.5
receiver	A	9	0.6929	TRUE	TRUE	0.5
receiver	A	10	0.7746999999999999	TRUE	TRUE	0.5
receiver	A	11	1.104	FALSE	TRUE	0
receiver	A	12	0.7101	TRUE	TRUE	0
receiver	B	1	0.6985	TRUE	TRUE	0.25
receiver	B	2	0.7202	TRUE	TRUE	0.25
receiver	B	3	0.833	TRUE	TRUE	0.25
receiver	B	4	0.8109999999999999	TRUE	TRUE	0.25
receiver	B	5	0.8316	TRUE	TRUE	0.25
receiver	B	6	1.0019	FALSE	TRUE	0.25
receiver	B	7	0.8107	TRUE	TRUE	0.25
receiver	B	8	0.7012999999999999	TRUE	TRUE	0.25
receiver	B	9	0.7673	TRUE	TRUE	0.25
receiver	B	10	0.8643	TRUE	TRUE	0.25
receiver	B	11	0.7483	TRUE	TRUE	0
receiver	B	12	0.7369	TRUE	TRUE	0
receiver	C	1	0.7685	TRUE	TRUE	0.25
receiver	C	2	0.6557999999999999	TRUE	TRUE	0.25
receiver	C	3	0.8616999999999999	TRUE	TRUE	0.25
receiver	C	4	0.7536999999999999	TRUE	TRUE	0.25
receiver	C	5	0.2183	TRUE	TRUE	0.25
receiver	C	6	0.401	TRUE	TRUE	0.25
receiver	C	7	0.8431	TRUE	TRUE	0.25
receiver	C	8	0.6972999999999999	TRUE	TRUE	0.25
receiver	C	9	0.7532	TRUE	TRUE	0.25
receiver	C	10	0.7925	TRUE	TRUE	0.25
receiver	C	11	0.846	TRUE	TRUE	0.5
receiver	C	12	0.6694	TRUE	TRUE	0.5
receiver	D	1	0.7718999999999999	TRUE	TRUE	0.25
receiver	D	2	0.9868	TRUE	TRUE	0.25
receiver	D	3	0.7765	TRUE	TRUE	0.25
receiver	D	4	0.8378	TRUE	TRUE	0.25
receiver	D	5	0.3361	TRUE	TRUE	0.25
receiver	D	6	0.47359999999999997	TRUE	TRUE	0.25
receiver	D	7	0.6507	TRUE	TRUE	0.25
receiver	D	8	0.5179999999999999	TRUE	TRUE	0.25
receiver	D	9	0.7714	TRUE	TRUE	0.25
receiver	D	10	0.8140999999999999	TRUE	TRUE	0.25
receiver	D	11	0.8463999999999999	TRUE	TRUE	0.5
receiver	D	12	0.7721	TRUE	TRUE	0.5
