strain	row_ID	col_ID	OD	limit_check	format_check	target_OD	transfer_volume_required	transfer_max_volume_check	correction_factor_volume	transfer_volume	sum_of_volumes	total_volume_check	total_volume_correction_factor	mimimum_transfer_volume_check	total_volume_fail	mimimum_transfer_volume_fail	format_fail	limit_fail	transfer_volume_fail	correction_factor_combined	error_type
donor	C	4	0.12869999999999998	TRUE	TRUE	0.0625	145.6876456876457	TRUE	1	145.6876456876457	234.39911164462063	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	C	5	0.15039999999999998	TRUE	TRUE	0.03125	62.33377659574469	TRUE	1	62.33377659574469	145.89690854193003	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	C	6	0.128	TRUE	TRUE	0.5	1171.875	FALSE	0.2986666666666667	350.00000000000006	608.2504683671999	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.3	transfer_volume_fail
donor	C	7	0.1293	TRUE	TRUE	0.25	580.046403712297	FALSE	0.4961250000000001	287.7755220417634	637.7755220417635	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.5	transfer_volume_fail
donor	C	8	0.12819999999999998	TRUE	TRUE	0.125	292.5117004680188	FALSE	0.41685000000000005	121.93350234009364	471.93350234009364	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.42	transfer_volume_fail
donor	C	9	0.12869999999999998	TRUE	TRUE	0.0625	145.6876456876457	FALSE	0.44310000000000005	64.55419580419581	414.55419580419584	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.44	transfer_volume_fail
donor	C	10	0.11939999999999998	TRUE	TRUE	0.03125	78.5175879396985	FALSE	0.4819500000000001	37.8415515075377	387.8415515075377	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.48	transfer_volume_fail
donor	C	11	0.1306	TRUE	TRUE	0	0	TRUE	1	0	177.01203681850367	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	C	12	0.1395	TRUE	TRUE	0	0	TRUE	1	0	165.34391534391534	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	D	1	0.1057	TRUE	TRUE	0.5	1419.1106906338694	FALSE	0.24663333333333334	350	366.4118602807029	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.25	transfer_volume_fail
