strain	row_ID	col_ID	OD	limit_check	format_check	target_OD
receiver	B	7	0.005499999999999998	FALSE	TRUE	0.1
receiver	B	8	5.999999999999964e-4	FALSE	TRUE	0.1
receiver	B	9	8.99999999999998e-4	FALSE	TRUE	0.1
receiver	B	10	7.999999999999952e-4	FALSE	TRUE	0.1
receiver	B	11	0.8478	TRUE	TRUE	0
receiver	B	12	0.9796	TRUE	TRUE	0
receiver	C	1	0.8212999999999999	TRUE	TRUE	0.1
receiver	C	2	0.0774	TRUE	TRUE	0.1
receiver	C	3	0.04889999999999999	TRUE	TRUE	0.1
receiver	C	4	0.0332	TRUE	TRUE	0.1
receiver	C	5	0.02219999999999999	TRUE	TRUE	0.1
receiver	C	6	0.012799999999999999	FALSE	TRUE	0.1
receiver	C	7	0.006699999999999998	FALSE	TRUE	0.1
receiver	C	8	0.003699999999999995	FALSE	TRUE	0.1
receiver	C	9	0.0029	FALSE	TRUE	0.1
receiver	C	10	0.0039000000000000007	FALSE	TRUE	0.1
receiver	C	11	1.044	TRUE	TRUE	0.1
receiver	C	12	0.9079999999999999	TRUE	TRUE	0.1
receiver	D	1	0.8529	TRUE	TRUE	0.1
receiver	D	2	0.07569999999999999	TRUE	TRUE	0.1
receiver	D	3	0.0521	TRUE	TRUE	0.1
receiver	D	4	0.0448	TRUE	TRUE	0.1
receiver	D	5	0.019199999999999995	FALSE	TRUE	0.1
receiver	D	6	0.012299999999999998	FALSE	TRUE	0.1
receiver	D	7	0.0046	FALSE	TRUE	0.1
receiver	D	8	0.0020999999999999977	FALSE	TRUE	0.1
receiver	D	9	0.0017000000000000001	FALSE	TRUE	0.1
receiver	D	10	0.003699999999999995	FALSE	TRUE	0.1
receiver	D	11	1.0267	TRUE	TRUE	0.1
receiver	D	12	0.9649999999999999	TRUE	TRUE	0.1
receiver	E	1	0.8361	TRUE	TRUE	0.1
receiver	E	2	0.0723	TRUE	TRUE	0.1
receiver	E	3	0.042	TRUE	TRUE	0.1
receiver	E	4	0.03869999999999999	TRUE	TRUE	0.1
receiver	E	5	0.023399999999999997	TRUE	TRUE	0.1
receiver	E	6	0.014599999999999995	FALSE	TRUE	0.1
receiver	E	7	0.009099999999999997	FALSE	TRUE	0.1
receiver	E	8	0.004699999999999996	FALSE	TRUE	0.1
receiver	E	9	0.002799999999999997	FALSE	TRUE	0.1
receiver	E	10	0.0032999999999999974	FALSE	TRUE	0.1
receiver	E	11	1.1916	TRUE	TRUE	0
receiver	E	12	0.9492999999999999	TRUE	TRUE	0
receiver	F	1	1.1092	TRUE	TRUE	0.1
receiver	F	2	0.0612	TRUE	TRUE	0.1
receiver	F	3	0.0405	TRUE	TRUE	0.1
receiver	F	4	0.028199999999999996	TRUE	TRUE	0.1
receiver	F	5	0.022899999999999997	TRUE	TRUE	0.1
receiver	F	6	0.0131	FALSE	TRUE	0.1
receiver	F	7	0.0049999999999999975	FALSE	TRUE	0.1
receiver	F	8	0.005499999999999998	FALSE	TRUE	0.1
receiver	F	9	0.0013999999999999985	FALSE	TRUE	0.1
receiver	F	10	-6.000000000000033e-4	FALSE	TRUE	0.1
receiver	F	11	1.0055	TRUE	TRUE	0
receiver	F	12	1.0733	TRUE	TRUE	0
receiver	G	1	1.2262	TRUE	TRUE	0.1
receiver	G	2	0.0603	TRUE	TRUE	0.1
receiver	G	3	0.05279999999999999	TRUE	TRUE	0.1
receiver	G	4	0.0318	TRUE	TRUE	0.1
receiver	G	5	0.020499999999999997	TRUE	TRUE	0.1
receiver	G	6	0.0138	FALSE	TRUE	0.1
receiver	G	7	0.011099999999999999	FALSE	TRUE	0.1
receiver	G	8	0.004199999999999995	FALSE	TRUE	0.1
receiver	G	9	0.0030999999999999986	FALSE	TRUE	0.1
receiver	G	10	0.0034000000000000002	FALSE	TRUE	0.1
receiver	G	11	0.9007	TRUE	TRUE	0
receiver	G	12	1.169	TRUE	TRUE	0
receiver	H	1	1.2055	TRUE	TRUE	0.1
receiver	H	2	0.0812	TRUE	TRUE	0.1
receiver	H	3	0.038299999999999994	TRUE	TRUE	0.1
receiver	H	4	0.0269	TRUE	TRUE	0.1
receiver	H	5	0.0203	TRUE	TRUE	0.1
receiver	H	6	0.012799999999999999	FALSE	TRUE	0.1
receiver	H	7	0.006399999999999996	FALSE	TRUE	0.1
receiver	H	8	0.0029999999999999957	FALSE	TRUE	0.1
receiver	H	9	8.99999999999998e-4	FALSE	TRUE	0.1
receiver	H	10	0.008199999999999999	FALSE	TRUE	0.1
receiver	H	11	1.0211999999999999	TRUE	TRUE	0
receiver	H	12	1.2402	TRUE	TRUE	0
